Study_Hours_Per_Week,Attendance_Percentage,Previous_Grades,Family_Income,Dropped_Out
27.0,89.5,97.3,57821.29,0
7.3,60.9,20.5,18238.83,1
18.8,84.6,75.3,114674.44,0
26.5,75.7,81.2,54937.14,0
11.8,96.9,72.1,63939.26,0
24.6,94.1,88.2,98687.06,0
6.3,93.5,77.1,90696.31,0
20.6,76.3,71.5,31708.36,0
25.1,80.2,79.9,37774.93,0
17.3,100.0,80.8,59525.33,0
21.0,83.3,77.5,55175.45,0
4.4,44.4,47.5,26751.14,1
6.7,38.1,31.3,61961.34,1
6.2,45.6,34.4,18444.42,1
0.3,43.5,34.1,46021.13,1
2.4,47.5,30.8,78495.48,1
18.6,78.4,74.4,79726.82,0
11.2,49.7,53.5,33485.09,1
13.5,,90.1,48837.41,0
16.8,92.0,87.3,83507.75,0
21.9,100.0,88.9,60078.46,0
9.8,81.9,94.7,57209.37,0
2.1,43.3,56.7,37781.9,1
8.1,56.0,42.7,28758.13,1
30.3,83.7,69.2,112652.88,0
17.0,,66.7,66272.93,0
11.5,75.7,54.1,31207.06,0
23.5,80.0,58.1,83740.99,0
28.4,73.3,89.1,118470.12,0
1.7,50.8,47.1,53320.66,1
26.8,80.0,82.3,97457.6,0
28.6,96.6,78.5,43803.06,0
9.4,88.3,82.2,77946.93,0
1.7,55.4,22.2,57829.28,1
0.0,50.3,39.2,50372.72,1
17.9,100.0,83.9,75469.17,0
15.7,95.2,70.8,75094.05,0
24.0,92.0,94.5,74407.66,0
3.5,33.2,26.9,11308.78,1
1.2,66.8,61.1,45825.98,1
18.1,89.8,84.1,107738.19,0
19.0,90.9,80.4,100957.12,0
31.1,95.4,73.4,95090.08,0
21.7,89.9,79.6,95705.7,0
22.8,100.0,80.6,68512.22,0
16.5,84.5,83.4,80611.41,0
15.2,90.9,85.7,111847.81,0
13.6,87.2,72.9,61272.48,0
9.6,100.0,68.7,68873.68,0
15.4,73.1,73.1,74604.68,0
12.5,90.5,87.2,101167.22,0
0.0,43.8,50.3,68468.29,1
24.1,74.0,86.9,50861.28,0
11.8,91.9,83.5,45171.54,0
8.1,18.4,40.5,63667.72,1
24.3,91.2,76.8,63699.22,0
17.0,89.9,74.3,70160.98,0
17.1,89.5,65.5,47366.99,0
5.1,,29.5,10503.05,1
18.8,70.0,80.1,54154.03,0
,93.1,72.7,83305.11,0
10.3,87.9,76.7,37180.69,0
13.2,89.0,70.6,65028.11,0
12.3,79.0,81.8,128471.07,0
8.2,65.2,16.2,54458.77,1
17.1,100.0,79.3,66210.64,0
7.4,53.3,31.4,33284.88,1
26.7,96.8,70.9,79564.27,0
19.6,76.7,79.9,82589.96,0
7.6,46.9,41.7,42158.23,1
29.9,89.2,85.6,76658.45,0
10.0,45.5,52.2,38621.25,1
5.3,29.8,37.6,48725.15,1
19.0,86.9,84.7,72941.79,0
5.6,57.6,30.4,57934.53,1
2.8,,54.3,17581.07,1
20.9,92.6,90.7,55006.5,0
4.0,25.1,37.0,47489.24,1
125.87883248328869,77.3,86.2,68572.36,0
11.9,75.7,82.7,96845.43,0
19.2,80.7,79.6,55697.41,0
20.2,82.1,83.0,59799.38,0
31.3,92.6,80.4,48897.77,0
20.9,88.3,99.9,69884.61,0
19.1,73.0,72.5,46577.47,0
19.0,92.4,74.2,64061.95,0
14.7,81.4,78.0,60946.79,0
16.6,78.3,78.7,77131.34,0
18.6,85.1,62.4,88909.95,0
17.3,91.9,77.5,72508.19,0
4.2,45.1,34.8,26159.91,1
12.6,85.9,88.5,89334.67,0
2.5,37.9,46.5,73175.96,1
14.4,95.3,81.4,82204.47,0
,84.3,72.1,44219.5,0
10.7,81.6,87.5,79463.86,0
1.7,23.6,53.5,10000.0,1
5.9,57.3,24.9,44923.53,1
12.9,89.1,81.3,51666.11,0
17.6,88.8,87.6,82576.61,0
14.0,80.4,79.3,53205.65,0
,91.5,82.6,54390.11,0
20.5,88.7,93.2,55281.48,0
15.8,88.1,88.4,72344.35,0
23.8,85.5,77.9,85783.71,0
0.9,49.2,48.9,47848.49,1
,97.7,81.3,86251.89,0
3.4,54.6,10.9,41852.44,1
0.0,16.8,19.3,49042.94,1
15.7,76.8,79.9,89241.66,0
6.4,39.1,38.1,42161.39,1
5.1,41.9,26.1,34401.73,1
17.3,86.9,85.9,114064.92,0
18.4,84.6,86.1,94001.12,0
18.7,99.0,74.1,60312.68,0
21.5,84.9,77.1,97566.46,0
2.1,47.7,41.8,43171.88,1
13.2,93.2,89.6,60646.14,0
18.3,89.9,80.2,89703.84,0
17.2,99.6,67.4,70846.03,0
16.0,,91.9,111562.88,0
19.9,97.1,80.7,54434.12,0
13.7,85.2,80.1,47285.14,0
18.0,74.7,100.0,50488.56,0
22.1,98.0,60.2,82303.59,0
22.5,75.4,66.2,82370.97,0
9.4,88.3,65.0,87233.5,0
1.0,36.2,39.5,58670.42,1
3.4,32.0,19.1,20466.01,1
19.1,79.1,74.4,58555.87,0
6.1,22.1,24.7,10290.53,1
1.7,46.0,44.3,60925.5,1
21.8,89.7,76.6,135285.79,0
11.3,87.7,93.7,64954.2,0
6.8,33.4,43.6,51556.26,1
6.5,55.4,37.1,13665.3,1
16.3,96.8,72.8,87119.65,0
23.6,90.3,78.7,74204.59,0
6.8,42.4,64.8,55362.43,1
13.8,95.8,74.3,61931.81,0
20.4,93.5,87.9,78431.79,0
3.6,47.8,38.7,30770.0,1
19.2,89.7,76.2,120907.66,0
0.0,72.3,39.6,22079.02,1
6.0,38.9,43.0,17189.59,1
3.6,50.2,39.8,51997.2,1
0.4,45.4,23.8,26040.26,1
,93.6,71.3,58885.73,0
0.0,43.5,45.4,32805.48,1
8.2,89.8,76.3,71924.18,0
12.0,77.1,80.8,68023.02,0
19.0,89.0,86.5,88481.89,0
17.8,95.6,84.2,55561.05,0
9.5,100.0,83.1,116474.57,0
1.4,60.1,34.3,55543.42,1
2.4,43.2,31.8,30461.71,1
19.8,84.4,65.7,59571.07,0
18.4,89.7,77.0,60949.94,0
18.8,97.0,70.6,63121.94,0
12.4,87.5,75.0,69762.44,0
0.0,52.2,47.9,45713.63,1
27.8,84.2,70.7,67973.59,0
14.1,81.6,97.3,52357.85,0
8.7,48.5,44.6,40929.06,1
7.2,50.4,56.8,39562.8,1
3.9,16.2,28.5,61446.85,1
16.2,92.5,92.4,52185.69,0
2.4,20.7,34.1,44435.04,1
26.2,85.2,77.5,81889.78,0
20.2,89.5,69.5,56581.73,0
4.9,33.3,23.6,61889.66,1
23.8,100.0,90.0,43169.39,0
10.7,86.5,80.8,70869.4,0
19.3,83.0,67.2,53846.61,0
20.6,82.1,80.3,93521.58,0
0.0,61.0,22.5,33525.45,1
17.5,92.4,81.3,43263.25,0
142.22343001594328,99.8,81.6,95353.01,0
3.9,50.0,31.3,47604.33,1
6.3,87.2,97.7,83580.24,0
18.4,90.6,90.9,83470.88,0
4.5,59.2,50.0,45763.56,1
6.6,26.0,32.4,45335.16,1
20.6,92.6,86.0,92755.95,0
20.0,89.3,70.6,61612.56,0
21.3,88.3,77.5,72108.62,0
10.4,100.0,75.6,34552.02,0
17.1,93.0,69.4,55790.54,0
5.9,62.4,42.4,48449.47,1
21.4,97.6,90.7,73202.45,0
7.2,32.6,42.3,44534.84,1
4.7,45.5,39.0,29197.18,1
4.5,44.3,43.1,39912.05,1
13.3,92.6,91.3,50722.24,0
2.2,44.2,35.2,68471.76,1
14.8,96.9,78.8,120430.49,0
6.9,46.2,40.3,28486.95,1
23.0,92.1,91.1,75437.18,0
15.4,85.2,69.0,54201.02,0
3.6,40.2,55.1,44679.78,1
11.9,90.7,71.3,84884.44,0
13.7,86.8,79.7,67345.52,0
0.0,54.7,34.1,56420.84,1
14.3,87.5,78.2,68490.35,0
19.9,94.5,68.4,72842.32,0
19.5,95.2,85.3,92439.35,0
2.2,52.1,48.7,36539.34,1
15.7,81.3,73.4,48039.53,0
17.7,76.2,83.5,81707.15,0
25.4,75.8,70.2,96707.52,0
5.3,27.1,54.7,44717.36,1
17.2,75.9,56.9,127950.78,0
7.9,69.2,43.9,50697.6,1
17.8,79.7,86.4,61924.84,0
6.6,51.0,45.3,23342.81,1
12.4,94.9,90.3,71774.07,0
27.3,93.1,87.1,45904.23,0
18.6,100.0,88.0,39259.0,0
5.3,38.0,31.8,26932.15,1
15.1,79.4,85.8,32600.41,0
1.4,38.4,40.3,51324.73,1
2.4,41.0,41.3,28874.59,1
17.2,,92.7,64038.14,0
8.8,36.8,40.2,53339.47,1
23.3,88.9,94.2,93014.83,0
19.5,93.8,87.4,71895.01,0
11.4,53.4,29.2,47118.32,1
22.6,73.9,81.1,85881.86,0
21.5,85.3,75.1,60899.75,0
21.8,79.3,87.9,51943.12,0
1.1,58.1,47.0,10000.0,1
30.6,93.1,79.4,75636.4,0
23.7,,89.9,62529.62,0
23.4,74.8,79.3,57797.08,0
18.3,100.0,64.2,77799.55,0
3.7,60.3,51.8,56415.92,1
0.0,34.7,45.0,48637.51,1
20.7,86.8,91.9,76561.43,0
5.6,33.4,58.8,49607.28,1
21.5,88.8,74.2,95199.12,0
25.5,87.9,77.2,60136.19,0
26.1,91.3,72.7,48566.03,0
27.8,72.9,79.1,54443.74,0
14.0,93.1,84.3,50924.4,0
18.9,77.9,92.4,70264.18,0
22.3,88.1,83.3,40387.41,0
2.7,45.0,10.5,12286.04,1
15.2,87.5,80.5,79011.66,0
15.0,91.6,97.3,31984.52,0
3.7,38.3,38.2,23545.25,1
3.6,50.0,44.2,35528.27,1
22.2,87.2,100.0,46858.16,0
17.3,82.7,71.5,72801.57,0
9.0,46.9,36.6,28452.31,1
19.0,90.6,66.5,79520.7,0
11.5,100.0,58.2,40043.48,0
4.5,35.7,43.7,23970.58,1
22.6,79.8,88.2,97174.87,0
21.3,90.6,90.7,53104.82,0
27.8,77.0,80.4,98723.17,0
13.4,86.3,84.7,42998.07,0
6.5,53.5,32.5,40152.89,1
22.9,81.4,88.9,93751.8,0
1.6,56.5,72.8,38102.66,1
15.1,87.2,90.7,100842.67,0
24.7,89.8,80.3,64582.0,0
13.9,81.4,77.8,78878.34,0
3.0,33.7,48.9,51315.53,1
5.1,54.2,52.4,31039.34,1
17.7,86.2,77.1,94163.37,0
23.8,,77.6,68505.03,0
21.8,87.4,95.0,40359.21,0
17.5,81.2,72.4,63175.03,0
16.0,93.4,89.4,90938.19,0
15.1,82.6,92.2,54125.88,0
3.1,55.4,37.0,21081.88,1
26.1,91.5,76.7,84492.1,0
18.0,93.1,80.3,51867.36,0
21.9,87.5,79.8,67520.07,0
12.4,81.4,93.1,65694.01,0
6.2,48.7,56.0,34183.72,1
25.5,83.2,90.5,71373.56,0
2.9,32.6,43.9,45902.43,1
18.2,88.9,71.5,96768.3,0
23.4,99.0,99.8,65223.07,0
23.0,92.8,84.4,60229.38,0
3.6,44.9,20.1,44330.99,1
19.6,99.1,94.9,77797.31,0
18.5,100.0,93.6,65929.55,0
10.5,22.3,34.1,25820.99,1
18.0,85.6,95.3,33860.16,0
18.4,80.1,87.1,59308.31,0
129.2256486061216,38.8,36.9,16423.56,1
8.7,47.4,40.1,22964.7,1
16.3,96.5,81.8,50856.99,0
17.5,93.1,75.1,40195.48,0
19.2,85.9,69.1,85571.21,0
13.7,97.4,63.8,61880.23,0
20.8,100.0,78.5,64528.24,0
23.8,90.6,80.6,50535.75,0
13.9,100.0,86.2,56559.63,0
14.4,85.6,83.2,82470.41,0
8.9,87.0,82.4,78177.08,0
12.9,67.9,78.7,77127.25,0
16.6,90.5,87.9,84240.73,0
21.4,92.4,87.7,30582.53,0
14.6,99.8,94.2,69044.94,0
22.8,84.1,93.5,71475.84,0
2.8,38.6,50.6,45036.31,1
15.2,82.1,71.4,85155.03,0
20.5,95.5,90.1,66169.73,0
13.4,95.2,77.1,75651.07,0
6.1,52.1,34.4,51387.05,1
19.1,99.1,91.9,89069.03,0
10.3,78.2,62.4,47032.76,0
18.1,90.2,98.9,55171.45,0
14.7,93.7,78.6,108587.07,0
0.7,60.0,55.0,64591.31,1
10.2,88.0,65.1,74272.05,0
5.1,81.2,86.0,35820.09,0
12.6,84.5,96.4,54670.95,0
1.8,40.9,28.4,10176.09,1
0.1,42.1,34.8,50818.29,1
23.2,84.9,57.3,83857.45,0
26.0,91.3,84.7,47059.91,0
19.2,100.0,67.7,50168.73,0
7.5,73.8,69.0,61097.71,0
17.5,91.3,92.6,90007.94,0
2.9,33.7,35.3,18033.22,1
22.7,88.0,87.4,102382.89,0
20.1,100.0,84.0,51392.47,0
28.5,85.1,74.5,73585.63,0
19.6,73.6,81.5,54900.54,0
22.5,86.8,89.5,101238.81,0
13.5,81.6,74.9,89093.24,0
0.6,66.4,52.0,41663.73,1
18.5,69.8,91.6,69863.26,0
0.0,44.4,43.8,38701.67,1
15.0,91.3,88.2,87500.49,0
12.1,89.7,77.2,51582.02,0
8.3,79.1,81.8,99150.3,0
24.8,84.3,84.7,69001.52,0
21.3,89.5,76.5,43158.84,0
16.8,98.9,81.2,55428.32,0
0.0,53.2,45.9,38069.36,1
21.2,89.7,74.5,57524.14,0
0.0,54.0,53.6,27629.44,1
25.3,84.0,83.0,41847.1,0
15.6,86.5,86.0,56000.34,0
12.7,92.9,96.9,68442.52,0
20.5,93.9,75.5,103417.65,0
22.8,93.5,78.9,57859.07,0
9.2,80.4,90.3,77950.46,0
21.4,87.2,67.3,49077.79,0
21.3,97.4,89.2,84307.97,0
16.1,95.0,75.3,69272.45,0
24.7,73.5,87.4,58788.82,0
20.8,85.0,90.0,70217.78,0
21.5,84.0,89.8,64760.31,0
19.4,,81.1,69696.1,0
,48.1,52.5,31292.03,1
15.1,96.1,89.1,65416.94,0
17.6,90.9,80.7,94796.69,0
4.8,29.7,52.8,24951.88,1
25.1,100.0,68.9,52804.79,0
22.1,89.4,80.6,62090.33,0
6.4,43.5,45.7,10000.0,1
1.6,30.7,22.4,34754.81,1
5.7,35.5,36.9,35138.36,1
21.5,87.7,89.9,66823.28,0
19.4,94.1,78.5,63047.9,0
15.2,83.4,78.9,86638.18,0
6.4,36.4,35.7,52497.57,1
5.3,,54.8,48432.11,1
13.5,78.6,91.9,78772.17,0
19.2,88.0,89.8,32442.69,0
17.7,80.0,75.3,37507.34,0
11.0,82.7,72.8,122103.21,0
14.3,99.9,85.9,54048.84,0
19.1,81.3,77.5,85800.65,0
11.4,89.6,81.5,93958.04,0
10.7,82.0,76.9,63555.15,0
12.9,57.3,92.6,31232.38,0
12.4,78.6,85.0,75122.64,0
17.8,85.2,93.3,85037.21,0
6.8,40.1,36.7,52274.3,1
4.3,44.0,35.9,10000.0,1
5.1,24.1,35.3,19954.65,1
15.5,87.3,75.9,37486.35,0
0.5,50.4,35.9,17934.89,1
22.7,73.2,73.9,83226.36,0
5.3,57.0,49.9,56034.15,1
14.1,85.5,57.6,29590.14,0
12.4,83.9,80.6,45814.58,0
14.8,91.7,74.2,66374.02,0
18.1,92.4,75.7,77674.52,0
1.9,31.5,31.1,36968.7,1
14.7,,80.3,89637.44,0
0.0,32.1,40.4,61740.1,1
21.4,83.3,72.0,85638.08,0
4.5,29.6,39.1,25217.5,1
24.8,96.1,79.1,93367.31,0
3.7,12.1,44.3,45897.05,1
13.9,85.1,80.7,65430.85,0
17.7,96.5,79.8,29123.45,0
26.6,86.6,84.9,88170.48,0
11.0,100.0,78.2,87641.9,0
16.8,94.3,95.8,61287.03,0
5.6,17.8,34.2,29550.71,1
22.8,100.0,99.2,58284.89,0
15.1,81.5,68.0,113905.7,0
24.0,100.0,86.1,42567.48,0
14.6,97.7,79.7,71278.14,0
5.5,43.8,34.7,39821.49,1
12.9,78.2,75.1,86237.0,0
2.8,49.6,19.8,50591.71,1
17.8,94.5,85.3,75643.27,0
18.9,100.0,96.1,82637.78,0
16.6,95.7,87.9,61387.43,0
16.6,,80.6,73561.63,0
12.5,90.6,57.2,92998.74,0
0.0,29.3,38.5,32166.99,1
18.0,93.4,86.6,41893.54,0
14.9,91.8,76.8,14277.05,0
16.7,85.7,82.4,70411.2,0
20.1,93.7,83.1,94707.33,0
3.3,24.8,34.1,39120.83,1
25.0,89.1,73.2,60102.09,0
16.1,88.6,84.4,82840.84,0
16.7,87.9,76.2,52330.71,0
17.3,78.6,78.6,73117.81,0
4.6,96.2,84.0,81673.64,0
17.3,86.6,89.9,56959.15,0
3.9,40.9,39.5,23315.02,1
19.2,87.4,66.5,58829.41,0
3.0,52.9,24.7,62485.47,1
13.2,83.9,73.0,90565.65,0
24.2,93.5,98.9,68791.81,0
20.8,92.3,85.2,77783.69,0
3.6,38.8,26.6,35595.89,1
15.8,66.2,71.5,68942.15,0
,89.2,73.9,42353.62,0
23.4,82.1,85.0,83372.21,0
17.1,79.6,58.3,92616.64,0
20.1,84.1,62.1,62827.71,0
20.7,70.3,85.1,83638.27,0
21.5,93.5,100.0,79958.66,0
14.4,79.1,87.6,80359.39,0
5.0,34.5,46.8,33962.8,1
22.6,74.5,85.5,60314.39,0
0.0,53.5,43.8,25526.39,1
19.5,81.4,93.1,85047.87,0
1.8,43.5,32.3,49504.56,1
26.3,83.6,74.7,76040.19,0
3.1,54.2,36.0,22370.21,1
24.5,84.0,75.3,85539.27,0
2.9,28.8,27.2,46175.01,1
13.5,92.3,90.2,65671.58,0
10.5,87.3,79.3,79931.48,0
22.9,100.0,86.3,63764.04,0
4.9,16.3,44.6,38769.55,1
10.9,96.9,98.6,53422.86,0
15.1,84.3,80.1,67385.9,0
18.5,87.6,87.1,79135.52,0
10.1,91.6,99.9,110916.62,0
16.1,95.3,80.0,76053.09,0
12.0,100.0,79.2,74357.95,0
15.1,77.5,85.6,76148.06,0
3.9,45.2,46.3,38240.55,1
0.0,50.4,44.6,36101.92,1
22.7,70.0,74.5,85109.48,0
14.2,95.5,82.8,59441.44,0
17.2,,97.5,103277.76,0
17.3,85.3,77.6,81242.06,0
14.6,89.9,67.4,71641.47,0
5.5,86.1,61.9,88357.47,0
19.4,78.3,83.6,20498.69,0
18.6,95.2,89.5,73012.69,0
13.0,87.5,62.8,30531.53,0
7.5,60.1,56.2,42111.14,1
14.2,85.9,71.5,50432.64,0
12.5,47.2,41.6,42151.26,1
10.9,73.9,90.9,84940.78,0
17.5,96.2,87.5,54299.31,0
23.3,81.5,63.7,89252.39,0
12.0,87.4,67.8,52915.71,0
22.4,93.1,85.4,29473.58,0
21.1,82.5,86.8,88002.0,0
7.7,53.1,27.5,26485.12,1
18.5,83.2,89.3,60094.38,0
20.6,89.2,75.2,69586.99,0
22.2,88.5,84.4,64649.76,0
18.3,84.3,75.2,61082.8,0
5.4,45.4,43.5,21879.54,1
15.5,84.4,80.8,59611.6,0
19.1,82.3,91.7,57957.13,0
16.4,69.7,87.2,87371.22,0
11.5,80.7,81.0,58665.83,0
19.0,87.9,61.3,83562.31,0
11.6,84.8,76.4,72674.85,0
15.9,92.6,81.9,78137.92,0
19.5,89.3,79.8,79521.65,0
4.8,40.5,30.5,58892.62,1
4.3,31.5,33.7,23993.9,1
4.7,55.8,33.2,39293.47,1
20.9,80.7,75.0,103823.46,0
0.5,40.2,39.3,27111.18,1
,86.3,96.3,56609.93,0
1.8,37.7,31.4,33844.57,1
0.0,48.3,40.0,26418.71,1
23.4,85.3,81.3,50766.26,0
3.4,26.6,43.0,59288.57,1
16.6,84.4,79.8,81235.27,0
4.3,41.5,38.6,49557.4,1
13.9,,78.4,80855.45,0
2.6,,35.4,40664.78,1
27.6,100.0,73.5,57703.71,0
,82.6,93.1,66042.87,0
3.0,55.2,32.9,52573.36,1
20.4,89.1,78.9,88886.45,0
32.0,79.0,76.3,68626.54,0
0.2,38.4,47.2,43726.8,1
5.4,39.3,37.8,21686.69,1
19.5,100.0,78.7,79224.65,0
10.0,92.0,69.7,77403.51,0
24.2,98.8,81.3,62719.98,0
0.3,57.1,47.5,65092.94,1
21.4,68.9,80.2,55527.38,0
0.4,61.1,40.9,50448.91,1
18.4,81.8,77.5,54547.1,0
21.8,91.6,84.0,62119.99,0
,82.5,75.1,50651.84,0
0.1,34.9,32.8,40437.71,1
17.8,85.9,70.1,28994.12,0
22.3,91.1,89.8,53000.8,0
2.0,35.8,39.5,30978.36,1
21.8,92.0,80.5,75308.61,0
1.4,46.3,43.5,22876.76,1
22.9,84.4,72.0,68566.52,0
6.1,58.4,46.3,18894.74,1
3.2,39.5,40.0,60284.22,1
1.8,32.5,45.9,27886.08,1
2.0,34.9,32.2,43799.96,1
25.2,92.8,74.1,75969.76,0
20.2,91.3,94.1,14619.42,0
14.7,88.7,82.3,74951.39,0
19.0,86.0,69.2,26154.02,0
6.5,43.7,48.2,36701.82,1
17.2,88.6,95.2,84937.6,0
9.9,47.2,41.7,29292.85,1
9.9,64.1,38.4,21253.34,1
,89.4,87.6,71489.5,0
2.1,48.4,51.4,22394.51,1
27.4,93.0,75.1,76952.01,0
3.3,,59.9,26730.83,1
19.5,92.6,78.4,72921.12,0
7.7,48.2,41.7,45417.73,1
22.1,89.0,95.4,66814.95,0
0.0,54.8,52.9,43028.43,1
2.9,54.9,57.4,48692.64,1
3.0,60.5,12.9,39663.83,1
8.3,83.0,71.8,91037.18,0
15.3,83.9,82.3,90162.22,0
8.4,45.8,28.7,51512.71,1
11.6,88.7,93.8,65378.41,0
3.3,53.6,55.5,22984.43,1
18.3,87.1,83.6,60031.24,0
3.0,38.6,23.4,57474.05,1
2.7,40.9,42.9,55299.33,1
25.5,95.6,64.3,66778.64,0
15.3,88.1,84.5,52808.88,0
17.1,85.5,66.7,70421.75,0
16.4,89.9,91.5,90059.04,0
9.4,78.7,97.6,97266.46,0
6.3,49.3,59.2,17889.27,1
10.8,87.7,82.2,72951.98,0
3.7,42.4,26.6,28313.64,1
,90.4,88.2,90541.92,0
13.8,91.1,71.1,56169.72,0
23.4,82.7,70.4,70606.48,0
2.3,,40.9,46456.64,1
5.1,62.7,51.4,36136.51,1
20.2,90.7,86.8,40978.17,0
14.6,87.7,87.9,84640.29,0
21.8,75.9,81.7,55447.55,0
0.5,55.5,51.0,40685.26,1
17.7,79.2,81.7,102826.25,0
24.2,84.9,90.2,78543.71,0
23.1,70.0,93.1,89066.21,0
8.6,46.0,34.9,32414.28,1
,28.6,42.3,33733.86,1
0.0,53.3,27.3,15562.1,1
19.1,80.3,91.8,120499.41,0
21.1,100.0,98.5,18989.28,0
11.0,91.2,80.6,54623.82,0
7.6,80.1,81.9,80141.41,0
7.0,72.9,48.2,25532.4,1
14.8,91.2,74.2,76188.21,0
9.2,92.5,78.8,85687.59,0
0.9,69.6,40.4,43976.71,1
20.2,92.1,68.8,45264.1,0
15.4,84.9,71.3,17609.9,0
16.1,93.8,72.7,59367.64,0
3.0,52.7,22.6,31584.39,1
27.6,80.3,91.6,55993.46,0
,25.8,52.1,40336.73,1
9.5,97.0,96.4,86023.04,0
15.8,91.2,70.2,98496.24,0
7.0,50.3,32.9,10000.0,1
19.3,80.0,69.4,65143.59,0
6.4,54.1,51.1,59894.77,1
20.1,,69.9,22861.27,0
20.9,85.1,76.6,58258.78,0
16.2,89.3,86.0,60285.28,0
16.2,81.1,80.1,64543.06,0
24.5,96.9,67.6,96340.44,0
23.8,85.6,76.5,47290.24,0
17.6,76.6,74.8,72707.78,0
13.0,78.3,84.4,81666.49,0
